pulsar		d_l	d_c	d_u	err_l	err_u	DM_l	DM_c	DM_u	sigma_l	sigma_u	DM_meas	Age	method	DM_delta avg_e
J0538+2817	0	1.3	0	0.2	0.2	0	42.42	0	6.8	7.25	39.570	6.18E5	1	0	 7.025
B0656+14	0	0.28	0	0.03	0.03	0	3.86	0	0.48	0.48	14.0672	1.11E5	1	0	 0.48
J1016-5857	0	3	0	0.3	0.3	0	137.03	0	38.79	39.44	394.2	2.1E4	1	0	 39.115
J1124-5916	0	5	0	2	3	0	257.47	0	104.89	148.34	330	2.85E3	1	0	 126.615
J1400-6325	6	0	8	1	2	327.23	376.9	426.57	58.22	82.81	563	1.27E4	2	49.67	 70.515
J1550-5418	3.7	0	4.3	0.4	0.4	183.73	214.54	245.35	37.57	41.37	830	1.41E3	2	30.81	 39.47
B1706-44	0	2.6	0	0.6	0.5	0	93.35	0	35.77	33.3	75.69	1.75E4	1	0	 34.535
J1833-1034	0	4.1	0	0.3	0.3	0	246.26	0	32.97	36.92	169.5	4.85E3	1	0	 34.945
J1907+0631	0	3.4	0	0.68	0.68	0	91.49	0	34.15	39.31	428	1.13E4	1	0	 36.73
J1930+1852	0	7	0	2	3	0	221.79	0	83.19	141.19	308	2.89E3	1	0	 112.19
J1957+2831	9.2	0	10.1	1	1	284.06	305.69	327.31	48.95	29.06	138.99	1.57E6	2	21.63	 39.005
J2229+6114	0	0.8	0	0.16	0.16	0	10.15	0	1.92	1.92	204.97	1.05E4	1	0	 1.92
J1357-6429	2	0	2.5	0.2	0.2	98.95	113.815	128.68	13.84	10.02	128.5	7.31E3	2	14.865	 11.93
J0358+5413	0	1.0	0	0.1	0.2	0	41.23	0	3.57	6.94	57.1420	5.64E5	1	0	 5.255
J0205+6449	0	2.0	0	0.3	0.3	0	56.36	0	12.71	15.2	140.7	5.37E3	1	0	 13.955
J1833-0827	0	4.5	0	0.5	0.5	0	387.93	0	192.87	71.24	411	1.47E5	1	0	 132.055
J1856+0113	2.5	0	2.6	0.3	0.3	65.55	68.165	70.78	15.41	16.16	96.74	2.03E4	2	2.615	 15.785
J1803-2137	0	4.4	0	0.6	0.5	0	295.74	0	70.22	64.88	233.99	1.58E4	1	0	 67.55
